Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
pants,1.481288,876.720486,2072.344626,2536.434223,3827.038166
pants,1.487538,1145.306522,2096.673429,3244.140687,4034.639961
pants,1.493788,1371.145505,2097.098253,3484.586131,4047.477956
pants,1.500038,804.800642,1469.373832,2098.048984,3973.863798
pants,1.506288,1014.76319,1123.789446,2086.72591,3974.436369
pants,1.512538,1006.88917,1803.803641,2148.45705,3967.743835
pants,1.518788,1019.816833,1756.177538,2106.402466,3952.169191
pants,1.525038,1014.004218,2079.807871,3908.053526,4168.223046
pants,1.531288,887.358843,2094.716435,3484.028544,4437.161045
pants,1.537538,720.57792,2067.179993,3256.509155,4436.124144
pants,1.543788,941.4258,2441.616261,2527.395188,3936.451575
pants,1.550038,951.839867,2194.190798,2782.076182,3489.681505
pants,1.556288,1575.768697,2211.150988,3053.571739,4326.168457
pants,1.562538,1755.326969,2421.177377,3053.188785,4303.857449
pants,1.568788,1433.661063,2370.417639,3026.362984,4412.323243
pants,1.575038,327.481586,2394.534366,3250.574802,4553.109376
pants,1.581288,309.625701,2153.981946,2397.5054,3996.274582
pants,1.587538,497.698317,1951.179063,2490.737061,4052.141282
pants,1.593788,595.402631,1906.30546,2515.637929,3740.174284
pants,1.600038,650.907945,1902.503622,2542.145792,3726.374525
pants,1.606288,689.50141,1903.947857,2527.905036,3729.130763
pants,1.612538,699.893092,1877.7501,2533.909311,3834.545056
pants,1.618788,698.448611,1877.155056,2536.631176,3864.383395
pants,1.625038,693.705532,1885.091847,2520.427039,3827.377837
pants,1.631288,686.361312,1920.12605,2515.925673,3804.941466
pants,1.637538,566.352778,1824.23771,2499.230629,3785.589383
pants,1.643788,1710.597999,2471.67386,3790.701243,4444.152153
pants,1.650038,1697.46414,2478.767175,3806.831503,4481.239531
pants,1.656288,1666.528445,2480.925209,3820.043455,4491.000767
pants,1.662538,1495.665398,2441.574647,3824.134281,4489.321506
pants,1.668788,527.115549,1327.218811,2432.482195,3837.035172
pants,1.675038,464.947301,1716.577881,2463.99877,3917.135581
pants,1.681288,356.762069,1791.362692,2405.123342,3827.29341
pants,1.687538,300.819144,1778.489075,2567.282003,3790.394682
pants,1.693788,281.641616,1828.207832,2659.107387,3891.577464
pants,1.700038,262.004732,1904.293757,3868.868001,3881.863769
pants,1.706288,484.373352,1905.286428,3658.066722,4217.453737
pants,1.712538,832.571094,2015.704163,3648.568814,4216.857387
pants,1.718788,545.33682,2028.129599,2511.689572,3833.489821
pants,1.725038,965.616977,2001.111575,3871.559968,5121.637252
pants,1.731288,336.413321,2061.617222,3889.653413,4363.300846
pants,1.737538,395.523669,2175.034272,3000.13242,4303.875299
pants,1.743788,551.061964,2327.4433,2994.749575,4222.90317
pants,1.750038,757.508971,2269.738734,2958.431071,4232.74083
pants,1.756288,696.918925,2234.1052,2976.419716,4444.798656
pants,1.762538,2261.033876,2628.104636,3546.563911,4521.273642
pants,1.768788,1253.580014,2619.888917,3405.470148,4629.502609
pants,1.775038,1270.223535,2565.538959,3356.444032,4555.495183
pants,1.781288,1122.966312,2477.270732,2887.684082,4471.571384
pants,1.787538,1983.906803,2444.851469,4173.205592,4718.814844
pants,1.793788,1731.482752,2520.586764,3956.396016,4671.676389
pants,1.800038,1753.326033,2548.547915,3848.973049,4711.784107
pants,1.806288,1302.10369,2440.676798,3480.874886,4701.413714
pants,1.812538,1084.81363,2532.512162,3719.255124,4640.663578
pants,1.818788,1060.384625,2525.49126,3489.084036,4443.893361
pants,1.825038,1111.439033,2453.653747,3334.537256,4527.785968
pants,1.831288,1083.575542,2492.933862,3264.307537,4457.307238
pants,1.837538,1087.466316,2554.131134,3268.83914,4442.156171
pants,1.843788,1189.506874,2539.943898,3342.543877,4458.45663
pants,1.850038,1121.062617,2455.46219,3471.226537,4176.459483
pants,1.856288,274.000939,2403.66981,3451.340953,4230.77438
pants,1.862538,169.686604,2355.037866,3467.928572,4369.155365
look,1.868788,2344.94677,3458.696046,4526.200306,
look,1.875038,294.592299,2170.562569,3417.167548,4426.444656
look,1.881288,261.429292,2004.207555,3224.262476,4040.72742
look,1.887538,245.281289,2058.225551,3189.448715,4017.500961
look,1.893788,256.668656,2268.922717,3049.843859,4016.210518
look,1.900038,258.665414,1753.612633,2518.783063,3985.171224
look,1.906288,272.272648,1175.552213,2776.045189,3927.644525
look,1.912538,293.48327,1147.346877,2734.774318,3916.156194
look,1.918788,297.502302,1170.774304,2662.10726,4041.423753
look,1.925038,284.775263,1171.889771,2701.178296,4113.241155
look,1.931288,284.367882,1187.045464,2488.590871,4000.556979
look,1.937538,293.063972,1230.703091,2504.831773,4043.987974
look,1.943788,303.722262,1240.018958,2525.282434,4112.679487
look,1.950038,308.84902,1233.730337,2505.654735,4062.382521
look,1.956288,315.635116,1234.988865,2503.050343,3855.256975
look,1.962538,325.578072,1246.795539,2503.648042,4031.851923
look,1.968788,330.685018,1268.772158,2497.424935,4165.325686
look,1.975038,337.284018,1295.094838,2515.713255,3771.691408
look,1.981288,339.798981,1288.379135,2538.764546,3793.955917
look,1.987538,342.178732,1265.561001,2524.31028,4308.623752
look,1.993788,347.918516,1257.093156,2479.975816,4058.334076
look,2.000038,357.052933,1308.152631,2396.915767,3310.203142
look,2.006288,371.119921,1393.990373,2425.930503,3288.722451
look,2.012538,383.945514,1395.495299,2464.608377,3169.803825
look,2.018788,389.351963,1340.129715,2475.017386,3435.667513
look,2.025038,398.413822,1321.921435,2429.963659,3505.26422
look,2.031288,407.595505,1324.825674,2461.244908,3563.520437
look,2.037538,415.329944,1475.394406,2523.863958,3550.783577
look,2.043788,412.727751,1374.001481,2337.764484,3630.141683
look,2.050038,402.543246,1342.561654,2279.823424,3739.780899
look,2.056288,407.836828,1440.984199,2234.192574,3744.628138
look,2.062538,409.820562,1462.172226,2430.64335,3651.721546
look,2.068788,388.931875,1259.829351,2478.905076,3645.109849
look,2.075038,380.55919,1173.549036,2534.188164,3744.503148
look,2.081288,349.643113,1038.180108,2548.654377,3825.539094
look,2.087538,1096.708166,2545.7659,3983.304621,4516.106624
look,2.093788,1104.73323,2688.671174,4092.820278,
look,2.100038,1082.682047,2340.516417,3239.38068,3974.606541
look,2.106288,263.54793,1159.043793,2782.719083,3938.824556
look,2.112538,1122.080511,2606.605248,3834.436908,3939.211863
look,2.118788,1100.512987,2155.740567,3442.507985,4565.468096
look,2.125038,1091.445023,2181.574412,3426.323502,4528.408918
look,2.131288,1174.291534,2492.486151,3493.579042,4071.375366
look,2.137538,1144.465196,2558.47243,3780.605969,5182.28888
look,2.143788,1074.102999,2268.498681,3324.3888,4294.680879
look,2.150038,1032.038551,2189.496993,3198.518909,4454.992366
look,2.156288,784.088072,2199.273301,3130.457562,4240.53855
look,2.162538,828.320881,2254.560894,3578.874374,4571.149838
great,2.168788,964.625963,2123.652814,3435.052603,4532.731232
great,2.175038,815.774811,2092.081175,2979.566,4322.228114
great,2.181288,898.80925,1903.721629,2788.196372,4300.388066
great,2.187538,1114.545843,2572.856051,3504.037621,4327.052451
great,2.193788,934.938506,2265.134157,3380.408086,4175.748286
great,2.200038,914.515704,2110.381291,2914.494289,4095.532067
great,2.206288,885.628178,2087.619556,2950.381512,4220.238678
great,2.212538,882.800503,2338.287647,3123.302854,4030.963984
great,2.218788,576.452178,826.845603,2876.049438,4052.985538
great,2.225038,789.248237,807.900958,2924.75168,4022.179084
great,2.231288,814.902609,841.044735,3030.739182,3970.770246
great,2.237538,791.800958,2533.166736,3866.708425,4537.963001
great,2.243788,800.872291,1163.670764,2483.099555,3791.211905
great,2.250038,879.001991,2460.25187,3500.907537,4458.423408
great,2.256288,898.299919,2481.420628,3273.636699,4461.531313
great,2.262538,855.400287,2422.297385,3269.345003,4395.333401
great,2.268788,736.654128,2357.928742,3037.129019,4424.879122
great,2.275038,708.837841,2371.512096,2772.579565,4431.255539
great,2.281288,754.40331,2418.276597,2594.174154,4399.58107
great,2.287538,846.773827,2285.683949,3340.716235,4502.585862
great,2.293788,356.213295,916.127575,2201.159783,3276.09773
great,2.300038,351.11514,988.768846,2099.797164,3188.38433
great,2.306288,239.262876,1163.859147,2303.462393,3907.215305
great,2.312538,858.845751,1574.654067,2355.172272,3686.808658
great,2.318788,704.169947,1681.229797,2379.019643,3645.502188
great,2.325038,558.043775,1854.539294,2457.173855,3624.587626
great,2.331288,466.83033,1923.937372,2517.049863,3545.095025
great,2.337538,477.135856,1821.427426,2265.132566,3358.736606
great,2.343788,492.027834,1746.865103,2196.484869,3432.745861
